#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
shortcuts.section.issues	Issues Page	Fragen Seite
shortcuts.section.issues.navigate_between_issues	navigate between issues	navigate zwischen Fragen
shortcuts.section.issues.open_details	go from the list of issues to the source code	geht aus der Liste der Fragen im Zusammenhang mit dem Quellcode
shortcuts.section.issues.return_to_list	return back to the list	Zurück zur Liste zurück
		
shortcuts.section.issue.do_transition	do an issue transition	tun ein Problem Übergang
shortcuts.section.issue.assign	assign issue	assign Ausgabe
shortcuts.section.issue.assign_to_me	assign issue to the current user	assign Ausgabe für den aktuellen Benutzer
shortcuts.section.issue.change_severity	change severity of issue	ändern Schwere der Ausgabe
shortcuts.section.issue.comment	comment issue	Kommentar Ausgabe
shortcuts.section.issue.submit_comment	submit comment	einreichen Kommentar
shortcuts.section.issue.change_tags	change tags of issue	Wechselmarken Ausgabe
		
shortcuts.section.rules	Rules Page	Regeln Seite
shortcuts.section.rules.navigate_between_rules	navigate between rules	navigate zwischen Regeln
shortcuts.section.rules.open_details	go from the list of rules to the rule details	geht aus der Liste der Regeln auf die Regeldetails
shortcuts.section.rules.return_to_list	return back to the list	Zurück zur Liste zurück
shortcuts.section.rules.activate	activate selected rule	aktivieren ausgewählte Regel
shortcuts.section.rules.deactivate	deactivate selected rule	deaktivieren ausgewählte Regel
		
shortcuts.on_page.intro	This page allows you to use the following keyboard shortcuts:	Auf dieser Seite können Sie die folgenden Tastenkombinationen verwenden:
shortcuts.on_page.left_x	Left arrow key: {0}	Pfeiltaste links: {0}
shortcuts.on_page.left_right_x	Left and right arrow keys: {0}	Linke und rechte Pfeiltasten: {0}
shortcuts.on_page.up_down_x	Up and down arrow keys: {0}	Rauf und runter Pfeiltasten: {0}
shortcuts.on_page.meta_x	Alt key + arrow keys: {0}	Alt-Taste + Pfeiltasten: {0}
		
tutorials.onboarding	Analyze a new project	Analysieren Sie ein neues Projekt
tutorials.skip	Skip this tutorial	Meiden Sie dieses Tutorial
tutorials.finish	Finish this tutorial	Beenden Sie dieses Tutorial
tutorials.find_tutorial_back_in_help	Find this tutorial back anytime in the Help section	Finden Sie diese Anleitung jederzeit wieder in der Hilfe
tutorials.find_tutorial_back_in_plus	Find this tutorial back anytime in the "+" menu	Finden Sie diese Anleitung jederzeit wieder in den „+“ Menü
		
		
#------------------------------------------------------------------------------		
#		
# SELECT2.js		
#		
#------------------------------------------------------------------------------		
select2.noMatches	No matches	Keine Treffer
select2.searching	Searching...	Suche ...
select2.tooShort	Please enter at least {0} characters	Bitte geben Sie mindestens {0} Zeichen
		
		
#------------------------------------------------------------------------------		
#		
# DUPLICATION VIEWER		
#		
#------------------------------------------------------------------------------		
duplications.dups_found_on_deleted_resource	This file contains duplicated blocks with some deleted resources. This project should be reanalyzed to remove these obsolete duplicated blocks.	Diese Datei enthält duplizierte Blöcke mit einigen gelöschten Ressourcen. Dieses Projekt soll diese veralteten duplizierten Blöcke zu entfernen, erneut analysiert werden.
		
		
#------------------------------------------------------------------------------		
#		
# GENERIC CODE VIEWER		
#		
#------------------------------------------------------------------------------		
code_viewer.no_source_code_displayed_due_to_security	Due to security settings, no source code can be displayed.	Aufgrund von Sicherheitseinstellungen, kann kein Quellcode angezeigt werden.
code_viewer.no_source_code_displayed_due_to_source_removed	The file was removed, no source code can be displayed.	Die Datei entfernt wurde, kann kein Quellcode angezeigt werden.
		
		
#------------------------------------------------------------------------------		
#		
# CUSTOM MEASURES		
#		
#------------------------------------------------------------------------------		
custom_measures.page	Custom Measures	Kundenspezifische Maßnahmen
custom_measures.page.description	Update the values of custom metrics for this project. Changes will take effect at the project's next analysis. Custom metrics must be created at the global level.	Aktualisieren Sie die Werte von benutzerdefinierten Metriken für dieses Projekt. Änderungen werden wirksam bei der nächsten Analyse des Projekts. Benutzerdefinierte Messwerte müssen auf globaler Ebene geschaffen werden.
custom_measures.deprecated	Custom measures are deprecated and will be removed soon.	Kundenspezifische Maßnahmen sind veraltet und werden in Kürze entfernt werden.
custom_measures.pending	Pending	steht aus
custom_measures.pending_tooltip	The value will be integrated to project during next analysis.	Der Wert wird auf Projekt bei der nächsten Analyse integriert werden.
custom_measures.all_metrics_taken	There are already measures on all available custom metrics.	Es gibt bereits Maßnahmen auf allen verfügbaren benutzerdefinierten Metriken.
custom_measures.delete_custom_measure	Delete Custom Measure	Löschen von benutzerdefinierten Measure
custom_measures.delete_custom_measure.confirmation	Are you sure you want to delete custom measure "{0}"?	Sind Sie sicher, dass Sie benutzerdefinierte Maßnahme „{0}“ löschen?
custom_measures.create_custom_measure	Create Custom Measure	Erstellen von benutzerdefinierten Measure
custom_measures.update_custom_measure	Update Custom Measure	Benutzerdefinierten Measure
custom_measures.metric	Metric	Metrisch
		
		
#------------------------------------------------------------------------------		
#		
# PROJECT ACTIVITY/HISTORY SERVICE		
#		
#------------------------------------------------------------------------------		
		
project_activity.analysis	Analysis	Analyse
project_activity.analysis_build_string_X	Build string: {0}	Build-String: {0}
project_activity.add_version	Create Version	Version erstellen
project_activity.analyzed.TRK	Project Analyzed	Projekt Analysierte
project_activity.analyzed.APP	Application Analyzed	Anwendung Analysierte
project_activity.remove_version	Remove Version	entfernen Version
project_activity.remove_version.question	Are you sure you want to delete this version?	Sind Sie sicher, dass Sie diese Version löschen?
project_activity.change_version	Change Version	Version ändern
project_activity.add_custom_event	Create Custom Event	Erstellen von benutzerdefinierten Ereignis
project_activity.change_custom_event	Change Event	Änderungsereignis
project_activity.remove_custom_event	Delete Event	Ereignis löschen
project_activity.remove_custom_event.question	Are you sure you want to delete this event?	Sind Sie sicher, dass Sie dieses Ereignis löschen?
project_activity.reset_dates	Reset dates	Reset Termine
project_activity.delete_analysis	Delete Analysis	Löschen Analyse
project_activity.delete_analysis.question	Are you sure you want to delete this analysis from the history?	Sind Sie sicher, dass Sie diese Analyse aus der Geschichte löschen?
project_activity.filter_events	Filter events	Ereignisse filtern
project_activity.events.tooltip.edit	Edit this event	Bearbeiten Sie diese Veranstaltung
project_activity.events.tooltip.delete	Delete this event	Löschen Sie diese Veranstaltung
project_activity.new_code_period_start	New Code Period starts here	Neuer Code Periode beginnt hier
project_activity.new_code_period_start.help	The analysis before this mark is the baseline for New Code comparison	Die Analyse vor dieser Marke ist die Grundlage für Neuen Code Vergleich
		
project_activity.graphs.new_code	New Code	Neuer Code
project_activity.graphs.new_code_long	New Code is indicated in yellow on the graph.	Neuer Code wird in Gelb auf dem Diagramm angezeigt.
project_activity.graphs.issues	Issues	Probleme
project_activity.graphs.coverage	Coverage	Berichterstattung
project_activity.graphs.duplications	Duplications	Vervielfältigungen
project_activity.graphs.custom	Custom	Benutzerdefiniert
project_activity.graphs.custom.add	Add metric	In metrisch
project_activity.graphs.custom.add_metric	Add a metric	Fügen Sie eine Metrik
project_activity.graphs.custom.add_metric_info	Only 3 metrics of the same type can be displayed on one graph. You can have a maximum of two graphs.	Nur 3 Metriken des gleichen Typs können auf einem Diagramm angezeigt werden. Sie können maximal zwei Graphen haben.
project_activity.graphs.custom.no_history	There isn't enough data to generate an activity graph, please select more metrics.	Es gibt nicht genügend Daten ist ein Aktivitäts Graph zu erzeugen, benutzen Sie bitte mehr Metriken wählen.
project_activity.graphs.custom.metric_no_history	This metric has no historical data to display.	Diese Metrik hat keine historischen Daten anzuzeigen.
project_activity.graphs.custom.search	Search for a metric by name	Suchen Sie nach einer Metrik nach Namen
project_activity.graphs.custom.type_x_message	Only "{0}" metrics are available with your current selection.	Nur „{0}“ Metriken sind mit Ihrer aktuellen Auswahl.
		
project_activity.custom_metric.covered_lines	Covered Lines	Covered-Linien
		
		
#------------------------------------------------------------------------------		
#		
# PROJECT "UPDATE KEY" PAGE		
#		
#------------------------------------------------------------------------------		
update_key.old_key	Old Key	Alter Schlüssel
update_key.new_key	New Key	Neuer Schlüssel
update_key.are_you_sure_to_change_key	Are you sure you want to change key of "{0}"?	Sind Sie sicher, dass Sie Schlüssel ändern möchten von „{0}“?
		
		
#------------------------------------------------------------------------------		
#		
# PROJECT QUALITY PROFILE PAGE		
#		
#------------------------------------------------------------------------------		
project_quality_profile.instance_default	Instance default	Instanz Standard
project_quality_profile.successfully_updated	{0} Quality Profile has been successfully updated.	{0} Qualitäts Profil wurde erfolgreich aktualisiert.
project_quality_profile.subtitle	Manage project Quality Profiles	Verwalten Projekt Qualitätsprofile
project_quality_profile.always_use_default	Always use the instance default Quality Profile	Verwenden Sie immer die Instanz Standardqualitätsprofil
project_quality_profile.current	Current Quality Profile	Aktuelles Qualitätsprofil
project_quality_profile.always_use_specific	Always use a specific Quality Profile	Verwenden Sie immer eine bestimmte Qualität Profil
project_quality_profile.change_lang_X_profile	Change {0} Quality Profile	Ändern {0} Qualitäts Profil
